iter	MultiClass
0	4.310567225
1	4.261918691
2	4.224919669
3	4.190408476
4	4.163588016
5	4.133281051
6	4.10155776
7	4.071468031
8	4.034081616
9	4.004982529
10	3.976322355
11	3.940393441
12	3.909362453
13	3.881938804
14	3.852946387
15	3.824968826
16	3.798577281
17	3.765735422
18	3.740980733
19	3.718974721
20	3.692391438
21	3.668617253
22	3.640623388
23	3.616976502
24	3.595054981
25	3.572259532
26	3.545394508
27	3.521267712
28	3.499543897
29	3.474213528
30	3.454613598
31	3.437586744
32	3.414251396
33	3.392087104
34	3.371434487
35	3.352195762
36	3.328926351
37	3.304698614
38	3.284427542
39	3.26469203
40	3.244619866
41	3.224937439
42	3.206384612
43	3.187983805
44	3.167627905
45	3.149330684
46	3.129055928
47	3.110032465
48	3.091533605
49	3.076672951
50	3.057662179
51	3.038966218
52	3.021407703
53	3.005024132
54	2.987842798
55	2.972040155
56	2.957667013
57	2.941220235
58	2.926069867
59	2.909503878
60	2.894059745
61	2.879338186
62	2.867043723
63	2.852334155
64	2.838520345
65	2.825725517
66	2.811983153
67	2.797686268
68	2.782811662
69	2.768122549
70	2.755730821
71	2.742686238
72	2.728313167
73	2.716311116
74	2.704987413
75	2.695487063
76	2.682764221
77	2.671916522
78	2.660052725
79	2.646771741
80	2.635192389
81	2.623974711
82	2.613386503
83	2.601814564
84	2.587794227
85	2.57584245
86	2.562591972
87	2.550491618
88	2.539017721
89	2.527403481
90	2.516427012
91	2.507416709
92	2.497937805
93	2.486644391
94	2.474944888
95	2.463688721
96	2.451744276
97	2.441234848
98	2.430814421
99	2.420194729
100	2.413465285
101	2.400751856
102	2.389386756
103	2.379276159
104	2.369683787
105	2.360209587
106	2.350738484
107	2.341459853
108	2.331067924
109	2.321518456
110	2.313713911
111	2.308377081
112	2.298689277
113	2.292321798
114	2.287092384
115	2.278598703
116	2.269936581
117	2.26201171
118	2.252708047
119	2.245386694
120	2.236050717
121	2.229105398
122	2.221453411
123	2.211334432
124	2.201684962
125	2.195659129
126	2.18756607
127	2.180398508
128	2.172054149
129	2.163142226
130	2.157117138
131	2.152769375
132	2.145081918
133	2.139751144
134	2.133060807
135	2.12685158
136	2.121712733
137	2.115647858
138	2.110646339
139	2.101980987
140	2.09393097
141	2.089323823
142	2.081914324
143	2.074301609
144	2.066780709
145	2.059387177
146	2.053653707
147	2.04685551
148	2.037592201
149	2.034401724
150	2.026943433
151	2.019026504
152	2.013391761
153	2.005951185
154	1.997710514
155	1.989636447
156	1.986683227
157	1.981199525
158	1.976108339
159	1.969398698
160	1.96307769
161	1.959434754
162	1.953078647
163	1.946414732
164	1.940863445
165	1.934924662
166	1.929110906
167	1.927239976
168	1.919913245
169	1.916205434
170	1.911852532
171	1.90520475
172	1.899539866
173	1.895212865
174	1.891049201
175	1.887518651
176	1.882107309
177	1.875289998
178	1.867726365
179	1.862084211
180	1.858387569
181	1.852725421
182	1.847515514
183	1.843210023
184	1.837887133
185	1.833300007
186	1.828531517
187	1.824991966
188	1.821783756
189	1.81680505
190	1.809942656
191	1.805811897
192	1.799521183
193	1.793925463
194	1.787457189
195	1.783548249
196	1.778429513
197	1.774648226
198	1.768337076
199	1.760727958
200	1.756583662
201	1.751832754
202	1.746678471
203	1.740934369
204	1.734500078
205	1.731657626
206	1.727450581
207	1.724127938
208	1.718474651
209	1.712703177
210	1.707575728
211	1.702006362
212	1.696277092
213	1.693306177
214	1.68824975
215	1.682878051
216	1.680751178
217	1.676235389
218	1.671262708
219	1.665645865
220	1.660289198
221	1.656193798
222	1.652389616
223	1.650961874
224	1.648020741
225	1.644757841
226	1.639743373
227	1.634111208
228	1.629733008
229	1.624077681
230	1.619564918
231	1.612939885
