iter	Passed	Remaining
0	190	190682
1	221	110548
2	247	82376
3	273	68002
4	279	55628
5	304	50484
6	328	46609
7	355	44060
8	378	41730
9	405	40182
10	431	38805
11	454	37442
12	478	36302
13	503	35469
14	528	34676
15	552	34002
16	577	33371
17	600	32764
18	624	32262
19	650	31886
20	675	31477
21	699	31107
22	728	30963
23	754	30673
24	780	30453
25	804	30135
26	831	29955
27	856	29721
28	882	29547
29	907	29345
30	930	29071
31	952	28821
32	979	28710
33	1004	28547
34	1028	28360
35	1053	28214
36	1078	28067
37	1101	27890
38	1127	27778
39	1183	28398
40	1211	28334
41	1235	28181
42	1259	28036
43	1282	27873
44	1307	27740
45	1330	27595
46	1355	27493
47	1378	27349
48	1403	27240
49	1426	27102
50	1449	26979
51	1473	26861
52	1496	26735
53	1519	26623
54	1542	26497
55	1565	26397
56	1588	26280
57	1612	26182
58	1636	26096
59	1658	25978
60	1681	25884
61	1704	25780
62	1727	25693
63	1757	25703
64	1784	25665
65	1808	25591
66	1834	25540
67	1859	25483
68	1885	25439
69	1911	25395
70	1935	25325
71	1963	25303
72	1988	25246
73	2017	25245
74	2045	25225
75	2069	25154
76	2094	25110
77	2117	25031
78	2141	24969
79	2164	24896
80	2191	24861
81	2214	24791
82	2240	24748
83	2263	24687
84	2288	24635
85	2310	24551
86	2337	24533
87	2362	24483
88	2388	24445
89	2412	24395
90	2438	24357
91	2462	24301
92	2488	24271
93	2512	24215
94	2538	24181
95	2562	24131
96	2588	24097
97	2612	24043
98	2638	24011
99	2662	23958
100	2687	23918
101	2710	23863
102	2738	23848
103	2763	23811
104	2789	23773
105	2815	23747
106	2839	23695
107	2865	23668
108	2893	23650
109	2923	23653
110	2952	23643
111	2982	23643
112	3010	23627
113	3038	23612
114	3064	23584
115	3087	23527
116	3113	23494
117	3136	23441
118	3162	23414
119	3186	23365
120	3212	23335
121	3235	23286
122	3261	23257
123	3287	23228
124	3314	23202
125	3338	23156
126	3363	23118
127	3387	23076
128	3413	23050
129	3439	23020
130	3464	22981
131	3489	22948
132	3513	22903
133	3539	22872
134	3563	22830
135	3588	22798
136	3611	22752
137	3637	22720
138	3660	22675
139	3686	22645
140	3709	22599
141	3734	22567
142	3759	22531
143	3786	22508
144	3810	22467
145	3836	22441
146	3859	22396
147	3887	22378
148	3916	22370
149	3947	22369
150	3974	22347
151	4004	22339
152	4032	22323
153	4062	22318
154	4089	22292
155	4118	22284
156	4146	22264
157	4172	22238
158	4202	22225
159	4229	22203
160	4253	22163
161	4277	22128
162	4301	22087
163	4327	22058
164	4351	22019
165	4376	21988
166	4400	21951
167	4426	21922
168	4451	21888
169	4477	21858
170	4500	21818
171	4527	21793
172	4551	21758
173	4576	21724
174	4599	21683
175	4624	21649
176	4647	21611
177	4676	21593
178	4701	21564
179	4728	21541
180	4753	21506
181	4777	21473
182	4803	21446
183	4828	21411
184	4853	21381
185	4877	21344
186	4902	21313
187	4925	21273
188	4951	21245
189	4976	21215
190	5004	21197
191	5031	21172
192	5063	21170
193	5092	21155
194	5121	21143
195	5149	21124
196	5176	21102
197	5204	21081
198	5233	21064
199	5257	21031
200	5283	21003
201	5307	20967
202	5333	20938
203	5356	20902
204	5384	20882
205	5408	20847
206	5434	20819
207	5459	20788
208	5484	20758
209	5511	20733
210	5535	20698
211	5562	20675
212	5586	20641
213	5614	20620
214	5643	20606
215	5670	20582
216	5699	20564
217	5726	20543
218	5751	20510
219	5778	20485
220	5803	20454
221	5829	20429
222	5856	20405
223	5879	20368
224	5904	20336
225	5927	20298
