iter	RMSE
0	14.71774312
1	14.33833968
2	13.95994424
3	13.59405618
4	13.25602707
5	12.96388446
6	12.66114233
7	12.35968616
8	12.08862132
9	11.79891975
10	11.51912331
11	11.26737505
12	11.00423144
13	10.74922083
14	10.5149443
15	10.27798853
16	10.06453931
17	9.86351595
18	9.654926888
19	9.476542918
20	9.308678498
21	9.142002448
22	8.976266482
23	8.8169289
24	8.670429772
25	8.531862618
26	8.38884254
27	8.270866404
28	8.14339998
29	8.023675599
30	7.917008685
31	7.815713187
32	7.714211253
33	7.614636502
34	7.509629446
35	7.416642153
36	7.318105819
37	7.242366677
38	7.161690411
39	7.084400774
40	7.001245592
41	6.933281815
42	6.863866783
43	6.804462027
44	6.743754176
45	6.685408627
46	6.62277808
47	6.567506856
48	6.513049825
49	6.455823892
50	6.402792956
51	6.35283164
52	6.309487118
53	6.262429711
54	6.218801882
55	6.176915703
56	6.139079151
57	6.106349849
58	6.074056633
59	6.042919239
60	6.011600816
61	5.981580851
62	5.953918936
63	5.92136056
64	5.891675524
65	5.866615208
66	5.839563747
67	5.809922898
68	5.785014935
69	5.763063912
70	5.73867052
71	5.715400799
72	5.695107783
73	5.672837361
74	5.654190156
75	5.633973674
76	5.618045971
77	5.60472759
78	5.589558539
79	5.575277621
80	5.566875395
81	5.5487455
82	5.534883268
83	5.517043356
84	5.50456789
85	5.487931297
86	5.473160121
87	5.461282188
88	5.451505378
89	5.440506854
90	5.431273648
91	5.420329034
92	5.412040902
93	5.401555336
94	5.396303225
95	5.38397964
96	5.375350208
97	5.368009869
98	5.359981045
99	5.345778511
100	5.337686566
101	5.32876312
102	5.32170129
103	5.310266002
104	5.301660792
105	5.294882835
106	5.283203641
107	5.275413746
108	5.267861273
109	5.26171726
110	5.255998194
111	5.250368741
112	5.244892329
113	5.239979423
114	5.233125443
115	5.226804742
116	5.219230867
117	5.215181137
118	5.210743589
119	5.203714589
120	5.202501698
121	5.196604147
122	5.18877865
123	5.183818281
124	5.179065636
125	5.169518801
126	5.165856618
127	5.162046007
128	5.159446978
129	5.150774468
130	5.142451929
131	5.136828384
132	5.131417907
133	5.124336147
134	5.117869299
135	5.112915413
136	5.107211148
137	5.103522236
138	5.099458172
139	5.095735219
140	5.09020897
141	5.082006746
142	5.074140084
143	5.068160975
144	5.063783123
145	5.062561295
146	5.059694078
147	5.056577994
148	5.052259736
149	5.044937253
150	5.041514379
151	5.037993218
152	5.033763079
153	5.03021349
154	5.027606448
155	5.022995109
156	5.017755685
157	5.012241085
158	5.009644613
159	5.005124384
160	5.001639314
161	4.995090431
162	4.991153083
163	4.984120695
164	4.983628245
165	4.981017661
166	4.975203037
167	4.969619946
168	4.965808194
